airport_code;airport_name;city;coordinates;timezone
YKS;Yakutsk Airport;Yakutsk;(129.77099609375,62.0932998657226562);Asia/Yakutsk
MJZ;Mirny Airport;Mirnyj;(114.03900146484375,62.534698486328125);Asia/Yakutsk
KHV;Khabarovsk-Novy Airport;Khabarovsk;(135.18800354004,48.5279998779300001);Asia/Vladivostok
PKC;Yelizovo Airport;Petropavlovsk;(158.453994750976562,53.1679000854492188);Asia/Kamchatka
UUS;Yuzhno-Sakhalinsk Airport;Yuzhno-Sakhalinsk;(142.718002319335938,46.8886985778808594);Asia/Sakhalin
VVO;Vladivostok International Airport;Vladivostok;(132.147994995117188,43.3989982604980469);Asia/Vladivostok
LED;Pulkovo Airport;St. Petersburg;(30.2625007629394531,59.8003005981445312);Europe/Moscow
KGD;Khrabrovo Airport;Kaliningrad;(20.5925998687744141,54.8899993896484375);Europe/Kaliningrad
KEJ;Kemerovo Airport;Kemorovo;(86.1072006225585938,55.2700996398925781);Asia/Novokuznetsk
CEK;Chelyabinsk Balandino Airport;Chelyabinsk;(61.503300000000003,55.3058010000000024);Asia/Yekaterinburg
MQF;Magnitogorsk International Airport;Magnetiogorsk;(58.7556991577148438,53.3931007385253906);Asia/Yekaterinburg
PEE;Bolshoye Savino Airport;Perm;(56.021198272705,57.9145011901860016);Asia/Yekaterinburg
SGC;Surgut Airport;Surgut;(73.4018020629882812,61.3437004089355469);Asia/Yekaterinburg
BZK;Bryansk Airport;Bryansk;(34.1763992309999978,53.2141990661999955);Europe/Moscow
MRV;Mineralnyye Vody Airport;Mineralnye Vody;(43.0819015502929688,44.2251014709472656);Europe/Moscow
STW;Stavropol Shpakovskoye Airport;Stavropol;(42.1128005981445312,45.1091995239257812);Europe/Moscow
ASF;Astrakhan Airport;Astrakhan;(48.0063018799000005,46.2832984924000002);Europe/Samara
NJC;Nizhnevartovsk Airport;Nizhnevartovsk;(76.4835968017578125,60.9492988586425781);Asia/Yekaterinburg
SVX;Koltsovo Airport;Yekaterinburg;(60.8027000427250002,56.7430992126460012);Asia/Yekaterinburg
SVO;Sheremetyevo International Airport;Moscow;(37.4146000000000001,55.9725990000000024);Europe/Moscow
VOZ;Voronezh International Airport;Voronezh;(39.2295989990234375,51.8142013549804688);Europe/Moscow
VKO;Vnukovo International Airport;Moscow;(37.2615013122999983,55.5914993286000012);Europe/Moscow
SCW;Syktyvkar Airport;Syktyvkar;(50.8451004028320312,61.6469993591308594);Europe/Moscow
KUF;Kurumoch International Airport;Samara;(50.1642990112299998,53.5049018859860013);Europe/Samara
DME;Domodedovo International Airport;Moscow;(37.9062995910644531,55.4087982177734375);Europe/Moscow
TJM;Roshchino International Airport;Tyumen;(65.3243026732999965,57.1896018981999958);Asia/Yekaterinburg
GOJ;Nizhny Novgorod Strigino International Airport;Nizhniy Novgorod;(43.7840003967289988,56.2300987243649999);Europe/Moscow
TOF;Bogashevo Airport;Tomsk;(85.2082977294920028,56.3802986145020029);Asia/Krasnoyarsk
UIK;Ust-Ilimsk Airport;Ust Ilimsk;(102.56500244140625,58.1361007690429688);Asia/Irkutsk
NSK;Norilsk-Alykel Airport;Norilsk;(87.3321990966796875,69.31109619140625);Asia/Krasnoyarsk
ARH;Talagi Airport;Arkhangelsk;(40.7167015075683594,64.6003036499023438);Europe/Moscow
RTW;Saratov Central Airport;Saratov;(46.0466995239257812,51.5649986267089844);Europe/Volgograd
NUX;Novy Urengoy Airport;Novy Urengoy;(76.5203018188476562,66.06939697265625);Asia/Yekaterinburg
NOJ;Noyabrsk Airport;Noyabrsk;(75.2699966430664062,63.1833000183105469);Asia/Yekaterinburg
UCT;Ukhta Airport;Ukhta;(53.8046989440917969,63.5668983459472656);Europe/Moscow
USK;Usinsk Airport;Usinsk;(57.3671989440917969,66.00469970703125);Europe/Moscow
NNM;Naryan Mar Airport;Naryan-Mar;(53.1218986511230469,67.6399993896484375);Europe/Moscow
PKV;Pskov Airport;Pskov;(28.395599365234375,57.7839012145996094);Europe/Moscow
KGP;Kogalym International Airport;Kogalym;(74.5337982177734375,62.190399169921875);Asia/Yekaterinburg
KJA;Yemelyanovo Airport;Krasnoyarsk;(92.493301391602003,56.1729011535639984);Asia/Krasnoyarsk
URJ;Uray Airport;Uraj;(64.8266983032226562,60.1032981872558594);Asia/Yekaterinburg
IWA;Ivanovo South Airport;Ivanovo;(40.9407997131347656,56.9393997192382812);Europe/Moscow
PYJ;Polyarny Airport;Yakutia;(112.029998778999996,66.4003982544000024);Asia/Yakutsk
KXK;Komsomolsk-on-Amur Airport;Komsomolsk-on-Amur;(136.934005737304688,50.4090003967285156);Asia/Vladivostok
DYR;Ugolny Airport;Anadyr;(177.740997314453125,64.7349014282226562);Asia/Anadyr
